group,tumor_variability,normal_variability,variability
TMED7,10.73898121433209,8.690189279719702,93.32377942389999
CD27-AS1,9.513381534053812,7.680275475949175,73.06539088934123
MIR4267,8.95629701204608,7.557139359424035,67.68398466442531
MIR4713,8.289127125724582,7.995332224007283,66.27432521719862
MIR4320,7.84820395786938,7.073986693789208,55.51809036811179
STON1,5.81322731884759,8.15991070319824,47.43541581918885
MIR4460,5.95172139989311,7.90197727975343,47.03036727737763
BLOC1S1-RDH5,6.285047276837529,7.427256540270693,46.680658492802046
OR7E14P,7.59825961315648,5.805554900819894,44.11211333486248
MIR5705,6.9189873205811905,6.148247113029704,42.53964381885243
SNORA78,-7.398716721185611,-5.743537734460457,42.494808674713106
SNORD45A,-7.408860554448642,-5.732095150670338,42.468293656147814
MIR4479,-7.437360257831779,-5.707862764545314,42.45143168218714
EIF3CL,7.049604574318907,6.017995513149861,42.42448869773192
CALM2,-7.406381290405853,-5.720399640833174,42.36746087351118
MIR4999,-7.421135136512313,-5.690966394440105,42.23343067049026
RAD51-AS1,-7.405710957233135,-5.701135879201928,42.220964449280686
LOC100506321,-7.4304997223644325,-5.677758824984426,42.18858537269899
MIR933,-7.396036663162281,-5.70042142834458,42.16052587951241
FAM89B,-7.3757102352116295,-5.714454253047244,42.14815872284919
RPS18P9,-7.386361540135948,-5.705545580739578,42.143222443067444
EDRF1-DT,-7.388866150977222,-5.703362815088891,42.14138445115247
LOC730183,-7.390686146497571,-5.678939481696684,41.97125935417378
MIR3136,-7.383809506175897,-5.677415487003905,41.92095444344969
MIR3684,-7.359081556845867,-5.687312417598811,41.85339592037189
SNORA84,-7.371903861049454,-5.6733684781881655,41.8235269895116
MIR4521,-7.370732381266134,-5.673589207982931,41.818507693281866
SNORA50C,-7.364822407671536,-5.673911458338719,41.78735024751728
GAS1,-7.373094022060012,-5.662930309443709,41.75331761190186
MDP1,-7.368483412512747,-5.664948281497333,41.74207744495569
MIR4767,-7.39152790630585,-5.643797025923947,41.716283214642814
TRMT2A,-7.357179654298057,-5.662704755994946,41.661536219102864
RNU6-72P,-7.341244764352935,-5.674218259355872,41.65582508829212
NUDCD2,-7.336163676591645,-5.673200962870988,41.619530833818885
ATP2B1-AS1,-7.342199338843686,-5.6681498617636175,41.616686167507766
SNORA70G,-7.296169350782529,-5.699327934620756,41.58326179663865
SNORD49B,-7.332702296265157,-5.663217048518221,41.52668465591754
MIR590,-7.3354911429944964,-5.659055566077855,41.511951982677814
SNORD50B,-7.347594983581006,-5.6462626051724385,41.48645079374603
GAGE13,-7.214845080337044,-5.743528916732101,41.438671348658154
CENPBD1,-7.325884154033032,-5.656245183042403,41.436996957776
MIR4641,-7.300391587423755,-5.67362298942696,41.41966954222659
SMG1P1,-7.396966912196685,-5.599126028778443,41.416549972093364
CCDC51,-7.327346277209625,-5.651235671892576,41.408560662076304
THAP10,-7.32663068945029,-5.646778977717394,41.371864154686996
TMED4,-7.325607826817242,-5.642046858261496,41.33142262415004
MBNL1-AS1,-7.318165736573769,-5.6444622716268125,41.30711039760268
SNORD46,-7.305976385829678,-5.647938263584422,41.26370358237166
