group,tumor_variability,normal_variability,variability
FADD,4.808841741517453,4.557855051751931,21.918003624650876
EXOSC6,4.907795617713743,4.433937154087914,21.76085733405081
CDKL1,4.8218879212346195,4.369490345891341,21.06919272080474
SNX16,4.730876066181903,4.401683079962874,20.823817133914204
RGS10,4.6831604995949725,4.438850794544292,20.78785070460559
AGAP5,4.568136623893862,4.5022069007570185,20.566696231695815
CRYM,4.582022573860922,4.300546918060149,19.70520305849962
VPS37B,4.277455227023523,4.576453695476518,19.57557578094715
PRIM1,4.5175922460314455,4.2970511124790445,19.41232478653613
MIIP,4.363383241697624,4.416461001612899,19.27071192204883
EPB41L4B,4.384420642731076,4.347466639806272,19.061122479151326
DNAJC5,4.5775680903370395,4.1543167101890655,19.016667609715412
BRAT1,4.5138964468712155,4.190816521257843,18.916911804794964
B3GNTL1,4.3477173329694985,4.342896527277544,18.88168650693762
STIMATE-MUSTN1,4.4877004013206605,4.203002820036748,18.861817442230784
FAR2,4.406207464997285,4.2379475579837464,18.673276166255
CCDC30,4.474751088217981,4.170782968374683,18.66321562645563
ANKAR,4.3637436624425545,4.257859253979052,18.58020633512347
CCDC86,4.0802440501526895,4.552965630071441,18.57721092264869
TMEM184A,4.443073767514983,4.18115246596039,18.577168839489193
SOGA1,4.352223028015265,4.253617910280935,18.512693821502857
GPR89A,4.37516568951677,4.1999734637653,18.375579795546845
RPL6,4.493248545445109,4.081062282953406,18.337227166751287
USP31,4.456793899144387,4.095514381643999,18.252863509969067
MYSM1,4.481737498346815,4.0714920160227415,18.247358442428794
AP2S1,4.283912734131385,4.252612576281547,18.217821168859796
SLC30A3,4.297125943399973,4.231355495155745,18.182667473981788
CLUH,4.357304390799567,4.166824437886936,18.156122418895684
C1orf35,4.609408164909068,3.9358974048046553,18.14215763395099
TRIM16L,4.3129050978819095,4.201890464288425,18.122354804170932
UTRN,4.501703372740499,4.022962872936942,18.110185533510037
C14orf28,4.34289455039773,4.169717910018287,18.10864518811423
XYLB,4.586711988870792,3.9370873550708527,18.058285772735076
CUEDC2,4.487909147985754,4.021440467846572,18.04785946372874
EPHX1,4.4242314896223744,4.0671836072218195,17.99416178914669
CHSY1,4.349787938202324,4.133652902414825,17.980513535639034
UBR3,4.355704274526967,4.121696500836622,17.952891066996916
TRIM65,4.30533561987209,4.162981683268712,17.923033325851858
MAPRE3,4.471406373983346,4.0022138667120775,17.895524593660916
CNGA1,4.360760404943055,4.103283750948889,17.893437311384137
GALNT1,4.280855382852559,4.161092718312052,17.813036161734736
KNDC1,4.2671119151082815,4.161619140615748,17.758094621064146
WIPI2,4.4316901067894925,4.001692223225979,17.734259836087023
NUP93,4.306519994610989,4.109887254975426,17.699311639148544
NTF3,4.11292893689207,4.303230704422593,17.69888208634213
C2orf42,4.335120879046401,4.071195953792599,17.649126581975523
KRT81,4.3316090104728975,4.066225770919928,17.613300187933863
PHLPP2,4.445850780028234,3.9606368429972414,17.60840039784785
GMEB2,4.350158149957307,4.043312841158089,17.5890503087909
TOMM20,4.166804502618791,4.2165045439944855,17.569350119228815
FGFR3,4.282711404222082,4.100288843527655,17.56035379078046
CGNL1,4.223634180759519,4.151566002351068,17.534696071209122
